B1,B4-6,D1,E11a,A1,opinionated,A3
7,10,7,2,4,0,very positive
8,5,12,2,4,1,positive
8,4,6,2,4,0,positive
7,3,15,2,4,0,positive
8,7,14,2,4,1,not positive
7,11,13,2,4,1,not positive
8,4,8,1,4,1,very positive
8,3,10,2,5,1,very positive
8,4,6,1,1,0,very positive
8,10,15,1,1,1,not positive
8,4,6,2,4,0,very positive
7,13,20,4,4,1,positive
7,12,7,1,4,0,very positive
7,4,6,2,4,1,very positive
8,13,7,1,4,1,very positive
7,4,15,2,3,0,not positive
7,11,6,1,4,1,very positive
7,6,8,1,4,1,positive
7,10,9,1,5,1,very positive
7,10,9,1,4,0,very positive
8,6,6,3,4,1,very positive
7,3,12,1,4,0,very positive
8,5,6,2,5,1,very positive
7,9,20,3,2,0,not positive
7,10,9,2,4,1,not positive
7,10,10,1,5,1,very positive
7,4,13,1,4,0,positive
7,9,8,2,4,1,very positive
7,4,13,3,2,1,not positive
8,12,6,1,5,1,very positive
8,8,6,4,4,1,very positive
7,4,8,2,4,0,very positive
7,13,16,2,4,0,very positive
8,4,16,2,4,0,positive
5,12,8,3,5,1,very positive
7,8,9,1,5,0,very positive
8,3,6,1,4,0,very positive
7,6,15,2,4,0,very positive
7,4,6,1,5,1,very positive
8,4,6,2,5,1,positive
7,9,6,1,2,0,positive
7,4,18,2,2,0,not positive
8,5,6,1,5,0,positive
8,6,9,1,4,0,very positive
7,13,13,3,2,0,not positive
6,4,14,2,4,1,very positive
7,12,6,2,2,1,not positive
7,10,22,2,1,0,not positive
7,5,8,2,2,0,not positive
6,4,6,1,4,1,positive
8,4,8,2,4,1,very positive
8,3,10,1,4,0,positive
6,12,19,2,2,1,positive
7,13,13,1,4,0,not positive
8,11,8,2,2,0,not positive
8,11,9,2,2,0,positive
6,4,10,1,4,1,very positive
8,8,10,3,2,1,very positive
7,9,8,2,4,0,very positive
8,6,6,2,4,0,very positive
7,9,22,2,4,0,positive
7,5,14,2,2,0,not positive
7,12,24,4,5,1,not positive
6,4,7,2,4,0,positive
6,9,11,1,4,1,very positive
8,4,10,2,4,0,positive
8,4,6,1,2,0,very positive
8,11,6,1,4,0,very positive
7,13,15,2,4,0,very positive
7,12,8,1,4,0,very positive
7,5,11,2,4,1,very positive
8,12,6,1,4,0,positive
7,13,10,1,2,1,very positive
6,12,13,1,4,0,positive
7,5,7,3,5,1,very positive
6,3,7,1,5,0,very positive
8,5,17,2,4,0,positive
8,12,9,1,5,1,very positive
6,4,6,2,4,0,very positive
7,12,11,1,4,0,positive
7,4,18,2,4,0,positive
8,4,7,1,4,0,very positive
7,4,9,2,4,0,very positive
7,4,9,4,2,0,positive
6,7,9,1,4,0,positive
7,5,10,4,4,0,not positive
7,13,7,1,4,0,positive
8,3,10,4,1,0,very positive
8,13,10,2,4,0,positive
6,12,11,2,4,0,very positive
5,10,7,2,4,0,positive
7,12,21,4,1,1,not positive
6,4,17,2,4,0,positive
7,11,11,2,2,0,positive
7,5,16,2,2,0,positive
7,4,15,3,4,0,not positive
8,7,18,2,4,0,positive
7,6,8,1,5,1,positive
8,12,8,2,4,0,very positive
8,4,8,1,2,1,very positive
8,3,6,2,5,1,very positive
8,12,11,2,2,0,not positive
6,12,9,1,4,1,very positive
8,3,7,1,4,0,very positive
7,4,8,2,4,1,very positive
6,11,17,2,4,0,very positive
7,12,18,2,4,0,not positive
8,4,8,2,4,0,very positive
7,4,7,1,4,1,very positive
7,12,15,3,4,0,very positive
7,4,15,3,4,0,not positive
7,10,15,1,4,0,positive
8,4,6,1,4,0,very positive
7,13,19,1,5,0,not positive
7,7,11,2,2,0,not positive
7,4,11,2,5,1,positive
6,12,8,1,2,0,very positive
7,12,16,2,2,0,positive
7,13,7,2,4,0,very positive
8,4,28,2,2,1,not positive
7,5,11,1,4,1,positive
6,10,8,1,2,0,very positive
6,3,8,1,2,1,positive
7,12,18,1,2,1,positive
7,4,18,3,2,0,not positive
6,12,17,1,4,0,not positive
7,4,11,1,2,0,positive
6,3,10,1,2,1,very positive
8,10,16,1,4,0,positive
6,13,15,2,1,1,not positive
6,4,13,2,2,0,positive
8,12,13,1,4,1,very positive
7,6,10,3,4,1,positive
8,4,6,2,4,1,positive
7,12,6,1,4,1,very positive
7,4,7,2,4,1,very positive
6,4,8,1,4,0,positive
6,13,25,3,4,1,not positive
7,12,12,1,2,0,not positive
7,4,19,4,4,0,not positive
7,4,12,3,2,1,positive
8,13,14,3,4,0,not positive
7,4,15,1,4,0,positive
7,13,24,2,1,1,not positive
7,4,6,1,4,1,very positive
6,5,16,2,2,0,positive
8,12,9,2,4,0,positive
8,13,14,1,4,0,positive
8,4,6,2,4,1,very positive
6,12,13,1,2,1,very positive
6,5,10,2,2,1,not positive
8,6,6,1,2,1,very positive
7,4,8,2,4,1,very positive
6,14,16,2,2,0,not positive
8,3,7,2,2,0,not positive
8,11,7,2,4,1,positive
5,13,9,2,4,0,positive
7,10,6,2,4,1,very positive
6,13,14,2,4,1,positive
6,10,8,4,4,0,very positive
7,4,20,1,4,0,not positive
6,12,12,1,4,1,positive
7,11,10,2,2,0,not positive
6,9,24,3,2,0,not positive
8,3,6,1,4,0,very positive
6,6,12,2,4,0,positive
8,12,8,3,4,0,positive
6,5,14,1,4,0,very positive
7,11,9,1,2,0,very positive
7,4,19,3,1,0,not positive
8,13,15,2,2,0,not positive
8,7,9,2,2,0,not positive
6,9,17,4,2,1,not positive
8,3,7,2,4,1,very positive
7,4,12,1,4,1,very positive
8,5,12,1,2,0,not positive
7,13,9,4,1,1,not positive
7,4,10,1,4,0,very positive
8,12,14,2,1,1,not positive
7,5,14,1,2,0,very positive
7,5,6,1,2,1,positive
6,12,9,1,4,1,positive
7,12,7,2,4,0,positive
6,12,9,2,4,0,very positive
6,6,21,2,4,0,not positive
7,5,20,1,4,0,positive
7,11,13,4,2,1,not positive
8,6,6,1,4,1,positive
8,4,9,2,4,0,positive
8,11,6,3,2,0,not positive
8,4,6,2,4,0,positive
8,4,6,3,5,1,positive
8,8,12,3,4,0,positive
8,11,9,2,4,0,very positive
8,4,6,1,2,0,positive
7,4,8,2,4,0,very positive
6,14,23,3,2,1,not positive
8,5,12,1,5,0,very positive
7,12,16,3,1,0,not positive
8,5,10,2,2,1,positive
7,10,8,1,4,1,positive
8,13,12,1,2,0,positive
6,9,8,1,2,0,positive
8,3,8,1,2,0,very positive
7,5,18,2,4,1,very positive
7,5,8,1,4,1,very positive
7,11,17,2,4,0,positive
7,4,8,2,5,0,very positive
7,5,7,1,4,0,very positive
8,4,7,2,4,0,positive
7,12,6,2,5,1,very positive
5,6,10,2,4,1,very positive
7,4,6,2,4,1,very positive
7,4,9,2,2,0,not positive
7,4,8,2,4,1,positive
7,7,11,1,4,0,very positive
7,4,14,2,2,0,positive
8,4,6,1,4,1,very positive
8,4,6,1,4,0,positive
7,4,13,2,4,0,positive
8,4,9,1,2,0,positive
7,4,9,2,2,0,not positive
7,12,6,2,4,1,not positive
7,4,11,1,5,1,very positive
8,4,6,1,4,1,positive
7,4,15,1,1,1,positive
7,4,9,1,4,0,very positive
8,4,6,1,4,1,very positive
8,12,8,1,5,0,very positive
7,12,13,1,4,0,positive
7,12,6,3,4,1,very positive
8,6,6,2,4,0,positive
8,7,13,2,4,0,positive
7,10,6,3,4,1,positive
8,4,12,1,4,0,positive
8,4,19,2,4,1,not positive
8,4,6,1,4,0,very positive
7,13,21,2,2,0,not positive
7,4,8,1,4,0,positive
7,3,8,1,2,0,positive
7,9,18,2,2,1,positive
8,4,7,2,4,0,very positive
7,10,13,1,2,1,not positive
7,5,6,4,4,0,positive
8,3,12,2,4,0,positive
7,5,7,2,4,0,very positive
5,13,15,2,4,0,positive
7,13,8,1,4,1,very positive
8,11,6,3,2,0,not positive
7,10,9,2,4,0,not positive
5,5,12,2,4,0,positive
8,14,10,2,2,0,not positive
7,10,17,2,4,0,positive
8,3,6,2,4,1,positive
8,4,6,2,4,0,positive
7,12,16,1,4,1,positive
7,13,8,2,4,0,very positive
7,6,16,3,2,1,positive
6,5,14,3,4,1,positive
7,11,13,1,4,1,positive
8,3,6,2,4,0,positive
7,12,6,3,4,1,not positive
7,10,14,2,2,0,positive
8,3,10,3,2,0,not positive
7,12,11,1,4,1,positive
7,12,9,3,2,0,positive
6,13,8,1,5,1,very positive
7,6,12,2,5,1,very positive
7,4,8,3,4,1,very positive
7,4,12,2,2,0,very positive
7,9,13,2,4,1,positive
7,13,12,3,1,0,not positive
5,12,10,1,4,1,very positive
7,5,13,1,2,0,very positive
7,8,11,2,4,0,positive
8,5,7,2,4,0,positive
7,9,7,2,4,0,very positive
7,4,6,1,4,0,very positive
7,13,10,2,2,1,not positive
5,12,15,2,2,1,not positive
7,5,6,2,2,0,positive
7,6,8,3,4,0,not positive
8,4,8,2,4,0,very positive
7,4,10,1,2,0,very positive
7,12,19,2,4,0,not positive
7,11,14,3,2,1,not positive
7,10,15,1,4,0,very positive
8,12,16,3,4,1,not positive
7,5,18,2,4,1,positive
5,9,20,3,2,0,not positive
7,7,16,3,2,0,not positive
7,6,12,1,4,1,very positive
8,4,6,1,2,0,very positive
6,5,7,1,4,1,positive
7,12,15,2,4,0,not positive
8,5,7,2,4,0,very positive
6,9,15,3,2,1,not positive
6,5,9,1,4,0,very positive
8,4,8,1,4,0,very positive
8,11,11,1,4,0,very positive
8,11,6,2,4,1,positive
6,11,6,2,4,1,not positive
7,13,12,3,4,0,positive
6,8,10,1,4,0,positive
8,4,8,3,2,0,not positive
8,4,7,2,5,1,very positive
7,7,11,2,4,0,very positive
7,5,14,2,4,0,very positive
7,5,6,2,5,1,very positive
7,4,6,1,5,0,positive
6,10,9,4,4,0,not positive
8,9,16,1,2,1,not positive
7,8,15,2,5,1,very positive
6,13,23,1,2,1,not positive
8,4,18,2,1,0,not positive
8,3,13,3,4,0,positive
8,9,18,2,5,0,very positive
7,12,6,1,4,1,positive
8,11,9,1,2,0,positive
7,6,8,2,1,1,very positive
7,13,14,3,5,0,very positive
8,4,12,2,4,0,positive
8,12,13,2,4,1,very positive
6,12,11,3,4,0,very positive
6,4,13,1,4,0,very positive
7,5,10,1,4,0,very positive
7,5,8,2,4,0,very positive
7,11,10,3,4,1,positive
7,11,10,2,4,0,positive
7,3,12,2,4,1,very positive
5,10,13,2,2,0,positive
7,12,15,2,2,0,not positive
7,5,13,2,4,0,not positive
8,7,11,2,4,0,positive
7,5,8,1,4,1,very positive
7,4,12,1,5,0,very positive
6,13,30,2,2,0,not positive
6,8,14,2,4,0,positive
7,5,6,2,4,0,very positive
8,4,6,1,4,0,very positive
7,5,17,2,4,1,not positive
7,12,6,2,2,0,positive
7,4,16,2,2,0,not positive
7,5,17,1,2,0,positive
6,13,18,2,4,0,not positive
7,13,10,1,4,0,very positive
8,4,6,1,5,0,very positive
7,5,19,3,4,0,positive
6,13,14,2,5,1,very positive
7,6,13,1,5,1,positive
8,3,6,1,4,0,very positive
7,13,14,1,4,1,positive
8,4,6,1,4,1,very positive
7,4,6,1,4,0,very positive
8,3,23,3,4,0,not positive
6,4,11,3,4,0,positive
6,6,9,1,5,1,positive
8,4,9,1,2,0,positive
8,6,6,1,4,1,positive
8,3,6,3,5,0,very positive
8,5,16,2,4,0,not positive
7,13,7,3,2,0,positive
7,9,16,3,4,0,very positive
8,4,6,2,4,0,positive
8,4,7,2,5,1,very positive
8,5,8,2,2,0,very positive
8,12,6,2,4,1,very positive
7,12,11,2,5,0,very positive
7,9,14,2,4,0,positive
7,9,14,3,4,1,very positive
7,11,19,2,4,0,positive
8,11,30,4,1,1,not positive
7,9,15,2,4,1,positive
7,12,10,2,2,0,very positive
7,4,11,2,4,0,positive
8,11,10,2,1,1,not positive
7,4,8,1,4,0,positive
7,4,9,3,5,1,positive
7,11,10,2,4,0,positive
7,14,19,4,1,1,not positive
7,10,9,2,4,1,very positive
8,4,9,1,5,1,positive
7,8,8,2,4,0,very positive
7,5,12,2,5,0,positive
8,4,6,1,4,1,very positive
7,13,14,2,4,0,not positive
7,5,14,2,2,0,positive
7,4,7,2,4,1,very positive
8,12,8,2,2,0,very positive
7,4,8,2,4,0,positive
8,4,6,1,4,0,very positive
8,4,8,1,2,0,very positive
8,3,6,1,2,1,very positive
8,3,6,1,5,0,very positive
8,4,10,2,4,1,very positive
8,13,8,4,4,1,very positive
6,13,13,1,4,1,positive
8,4,6,1,4,0,very positive
7,11,6,2,4,1,very positive
5,5,24,2,2,0,not positive
7,4,7,1,4,0,very positive
7,6,10,2,2,1,not positive
7,12,9,2,4,1,very positive
6,12,13,4,1,0,not positive
6,11,19,1,4,0,positive
7,4,26,4,5,1,not positive
7,3,9,2,4,0,very positive
8,6,15,3,4,0,not positive
6,12,17,3,2,0,not positive
6,13,19,2,4,0,positive
8,13,18,2,4,0,not positive
8,5,7,2,2,0,positive
8,12,7,1,4,0,very positive
7,4,8,2,5,1,very positive
7,12,11,2,2,0,positive
7,5,13,2,4,1,positive
7,6,8,2,4,1,positive
8,5,15,4,4,1,not positive
8,4,9,2,4,0,very positive
7,4,12,4,2,0,not positive
8,5,11,1,2,0,positive
8,4,7,1,4,0,positive
8,10,9,2,5,0,very positive
7,12,6,2,4,0,not positive
7,14,21,2,4,0,positive
7,4,7,1,4,0,very positive
8,4,18,2,4,1,positive
7,10,10,2,4,1,positive
8,8,6,1,4,0,very positive
7,6,15,1,2,1,positive
8,4,11,1,4,0,positive
7,12,9,1,4,0,very positive
8,3,16,2,2,1,not positive
8,4,7,2,2,0,not positive
8,4,6,1,4,1,very positive
5,9,12,2,5,0,not positive
8,11,18,3,4,0,not positive
7,4,11,2,2,0,positive
7,13,21,3,5,1,very positive
8,4,6,2,4,1,very positive
8,4,10,2,2,0,not positive
7,12,11,1,2,0,positive
8,3,21,3,2,0,not positive
8,12,7,2,2,1,positive
7,4,7,1,4,1,very positive
7,11,15,2,2,0,not positive
7,4,14,3,4,0,positive
7,5,6,1,4,0,very positive
7,4,6,2,2,0,positive
8,6,7,1,5,1,very positive
6,13,12,2,4,1,positive
8,5,8,2,2,0,positive
7,13,24,4,2,0,not positive
8,4,7,2,5,1,very positive
7,13,12,2,5,1,positive
7,4,6,1,4,0,very positive
7,12,8,2,4,0,very positive
6,5,7,1,4,1,very positive
7,12,9,2,5,0,not positive
7,4,11,1,2,0,positive
5,13,8,1,5,0,very positive
6,13,14,3,2,1,very positive
4,4,11,1,2,1,positive
7,12,11,1,4,1,positive
7,9,9,1,5,1,very positive
7,5,17,1,1,0,not positive
7,6,14,2,4,0,positive
7,11,9,2,4,0,positive
7,4,6,1,5,1,very positive
8,6,9,2,4,0,positive
8,11,6,1,2,0,very positive
7,13,18,2,4,0,not positive
7,12,6,2,2,0,positive
8,12,23,4,2,0,not positive
7,4,19,3,4,0,not positive
7,11,20,4,1,0,positive
7,12,6,1,4,1,very positive
8,3,8,1,2,0,positive
7,5,8,2,4,1,very positive
8,4,6,3,4,0,very positive
7,4,11,1,4,0,very positive
8,4,6,2,4,0,very positive
7,9,15,4,4,0,positive
6,10,15,2,5,1,positive
8,3,19,2,2,0,positive
8,4,16,1,4,1,positive
8,12,13,1,4,0,very positive
7,5,7,2,4,0,not positive
8,4,9,1,4,0,very positive
7,8,10,3,4,0,positive
6,9,11,2,4,1,positive
7,12,9,2,5,1,very positive
8,12,15,1,4,0,positive
7,6,9,2,4,1,positive
7,9,15,4,4,0,not positive
7,12,9,2,2,0,not positive
8,4,6,1,2,1,very positive
6,5,10,1,4,1,positive
8,7,16,1,4,0,very positive
8,12,11,1,5,1,very positive
6,9,10,1,4,0,very positive
7,4,9,2,4,0,positive
8,5,11,3,5,0,very positive
7,11,6,1,4,0,very positive
7,12,10,1,5,1,not positive
7,4,6,2,4,0,very positive
8,3,6,1,1,1,very positive
8,4,13,3,5,1,positive
7,5,14,2,2,1,positive
6,12,12,2,4,0,positive
8,4,6,1,5,0,very positive
7,12,8,1,4,0,very positive
8,12,7,1,4,1,very positive
8,4,13,2,4,1,positive
7,9,10,1,2,0,very positive
8,4,6,2,4,1,very positive
7,13,17,2,4,1,positive
8,5,7,2,5,1,very positive
7,5,7,3,2,0,positive
8,4,8,1,4,1,positive
8,4,7,1,4,0,very positive
8,10,8,1,4,1,very positive
6,12,15,2,4,0,positive
7,5,15,3,2,0,positive
8,12,18,4,2,0,positive
8,3,6,3,4,0,not positive
7,5,14,2,4,1,positive
7,4,8,1,2,0,positive
8,5,8,2,5,0,very positive
7,4,17,2,4,0,not positive
7,5,11,2,2,0,positive
8,13,7,2,4,1,positive
7,6,10,2,2,0,not positive
8,4,8,1,4,0,very positive
7,12,11,2,4,0,very positive
7,7,12,2,4,0,not positive
5,11,15,1,4,1,very positive
7,12,6,1,4,0,positive
7,12,10,2,4,0,positive
7,5,12,2,4,1,positive
7,7,8,1,4,0,not positive
7,5,11,1,4,0,positive
7,9,8,2,4,0,very positive
6,9,9,2,2,1,not positive
8,11,15,3,4,0,not positive
7,13,22,1,2,0,positive
6,8,11,2,4,0,positive
5,13,18,1,2,1,not positive
6,12,18,1,4,0,positive
6,4,10,2,5,1,positive
6,13,16,3,1,0,not positive
7,5,9,2,4,0,positive
8,5,8,2,2,0,positive
7,4,6,3,4,0,not positive
7,9,7,2,5,0,very positive
8,8,13,1,4,0,very positive
8,3,7,3,4,0,very positive
7,12,12,2,4,0,not positive
8,3,6,1,4,1,very positive
8,4,22,2,4,1,positive
8,4,11,2,2,1,positive
8,8,23,2,4,1,not positive
6,13,16,2,2,0,not positive
6,8,8,1,2,0,positive
8,4,6,3,2,1,very positive
6,10,20,1,2,1,positive
8,9,12,2,4,0,not positive
8,4,6,1,4,1,very positive
7,4,13,2,4,0,positive
6,7,10,1,4,1,positive
7,8,17,2,2,0,positive
7,9,9,1,4,1,very positive
7,7,16,3,5,0,positive
7,12,7,1,4,0,very positive
7,12,9,1,5,1,positive
8,4,9,2,4,0,positive
7,8,14,4,4,0,positive
6,13,12,2,4,0,positive
8,3,7,1,1,0,very positive
6,13,9,1,4,0,not positive
7,7,8,1,4,0,very positive
6,5,10,1,1,0,not positive
7,14,16,4,4,1,not positive
7,13,18,3,1,0,not positive
8,11,7,2,5,1,very positive
7,4,7,1,4,1,very positive
5,12,16,3,4,1,positive
6,5,13,2,2,0,very positive
8,4,6,1,4,0,very positive
6,12,8,1,4,1,not positive
7,13,22,2,2,0,not positive
6,13,13,1,4,0,not positive
7,4,6,1,4,1,very positive
8,11,7,1,5,0,positive
7,4,6,2,4,0,very positive
7,12,16,1,4,0,not positive
8,7,13,2,2,0,positive
8,4,12,2,4,0,very positive
7,3,6,1,4,1,very positive
8,12,13,2,2,1,positive
7,4,6,2,5,1,positive
7,4,9,1,4,0,very positive
6,6,10,4,2,1,not positive
7,5,10,1,4,0,very positive
5,8,20,1,1,0,very positive
7,4,6,1,4,0,very positive
8,5,7,1,4,1,very positive
7,4,17,3,4,0,positive
8,5,6,1,4,0,very positive
8,8,12,1,4,0,very positive
8,4,11,2,2,0,very positive
7,12,15,2,4,1,positive
7,4,11,1,5,0,very positive
8,5,6,1,4,0,very positive
5,10,24,3,2,0,not positive
7,12,10,1,5,0,very positive
8,4,8,3,4,0,positive
8,6,7,2,4,0,positive
7,5,6,2,4,0,positive
7,4,6,2,5,1,very positive
8,3,10,1,4,1,positive
5,13,10,2,4,0,positive
7,5,7,2,4,0,very positive
7,13,8,2,2,1,positive
7,12,9,1,5,1,very positive
8,4,13,1,4,0,positive
6,12,20,2,2,0,not positive
8,4,7,1,5,1,very positive
7,13,14,3,4,0,not positive
7,5,9,3,2,0,not positive
7,13,14,2,1,1,not positive
7,5,9,1,5,1,very positive
8,5,6,1,4,0,very positive
7,4,6,1,5,0,very positive
8,4,9,1,4,0,very positive
8,4,6,2,4,0,very positive
8,12,8,2,2,0,positive
6,7,6,2,4,0,positive
7,4,10,1,4,1,positive
7,4,13,4,5,1,very positive
8,4,10,1,2,0,positive
5,13,24,3,5,1,positive
8,3,6,2,4,1,very positive
8,5,6,1,2,1,very positive
7,13,24,4,1,0,not positive
8,4,8,2,4,1,very positive
7,4,8,2,1,1,not positive
7,8,16,1,5,0,very positive
7,4,12,1,4,0,not positive
8,12,14,3,4,0,positive
6,11,20,2,2,0,positive
7,4,6,1,1,1,very positive
7,5,22,2,4,1,positive
7,12,16,2,4,0,not positive
7,5,24,4,2,1,not positive
6,4,22,1,2,0,not positive
7,6,13,2,4,0,positive
7,11,19,3,4,0,positive
7,11,6,2,4,1,very positive
8,4,6,1,2,0,very positive
8,4,6,2,2,0,not positive
6,12,9,3,4,0,not positive
8,4,9,2,4,1,very positive
7,10,15,2,4,0,very positive
8,7,18,2,4,0,not positive
8,3,6,1,5,1,very positive
8,4,12,2,4,1,not positive
7,5,10,2,4,0,positive
7,4,6,3,2,0,positive
7,8,7,2,2,1,positive
8,10,6,1,4,0,very positive
8,4,6,1,4,0,very positive
7,12,12,1,4,0,not positive
8,4,9,2,2,0,positive
7,13,30,2,1,0,not positive
7,4,6,1,5,0,very positive
8,4,6,2,4,1,very positive
7,5,6,2,4,0,very positive
7,4,12,2,4,0,positive
7,12,7,1,5,0,positive
8,4,8,1,4,1,very positive
7,14,23,3,4,0,not positive
6,4,8,1,4,0,positive
6,11,23,2,4,1,not positive
6,7,12,2,2,0,not positive
7,5,11,2,4,0,positive
6,11,8,2,4,0,positive
7,6,12,2,4,0,positive
7,9,7,4,4,1,very positive
7,4,13,3,4,0,positive
7,13,19,2,2,0,not positive
8,4,6,1,5,1,very positive
6,13,9,2,2,0,positive
7,7,7,1,5,1,very positive
8,3,6,1,4,1,very positive
7,3,17,4,4,0,not positive
8,4,6,1,4,1,very positive
7,5,6,2,4,0,very positive
7,5,9,1,4,1,not positive
7,6,7,2,4,0,positive
5,13,6,2,4,0,very positive
7,8,15,2,2,0,not positive
7,5,6,2,2,0,positive
6,12,18,2,4,0,positive
7,13,8,2,4,1,positive
7,4,14,3,4,0,positive
7,12,6,1,4,1,very positive
7,11,9,2,4,0,not positive
8,4,9,1,4,0,positive
8,4,17,2,4,1,not positive
8,4,6,1,4,0,positive
6,12,14,3,4,0,positive
7,4,8,1,4,1,very positive
8,4,6,1,2,1,very positive
8,12,8,2,2,0,not positive
8,4,8,1,5,1,very positive
7,7,10,1,2,0,very positive
6,9,17,4,4,0,very positive
7,8,14,1,2,1,not positive
7,13,12,2,4,0,very positive
6,12,17,2,5,1,very positive
7,8,7,1,2,1,very positive
7,8,15,2,4,1,very positive
6,4,8,1,4,0,very positive
7,13,8,1,4,0,positive
7,9,13,2,4,0,positive
8,7,9,2,4,1,positive
7,4,14,2,4,0,not positive
8,5,6,1,4,0,very positive
7,4,11,2,2,0,positive
7,6,13,1,4,0,positive
7,4,12,2,4,0,positive
7,4,10,1,2,1,very positive
7,7,30,4,2,0,not positive
8,9,8,2,4,0,very positive
7,6,19,3,4,0,not positive
7,4,17,1,4,0,very positive
7,12,11,2,4,0,not positive
7,4,6,1,4,0,very positive
6,10,25,3,1,1,not positive
8,12,6,1,4,1,very positive
8,4,6,3,2,0,not positive
8,5,12,1,5,0,very positive
6,12,9,2,4,0,positive
8,6,6,1,4,0,very positive
6,9,8,1,4,1,very positive
